"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence"
"406 UP","13.17042","77.54948","115"
"406 DOWN","13.15793","77.41186","116"
"406 UP","13.17062","77.5493","116"
"406 DOWN","13.15926","77.41174","117"
"406 UP","13.17086","77.54917","117"
"406 DOWN","13.1621","77.41145","118"
"406 UP","13.17097","77.54913","118"
"406 DOWN","13.16269","77.41137","119"
"406 UP","13.17108","77.54903","119"
"406 DOWN","13.16307","77.41136","120"
"406 UP","13.17115","77.54899","120"
"406 DOWN","13.16367","77.41128","121"
"406 UP","13.17145","77.54892","121"
"406 DOWN","13.16405","77.41126","122"
"406 UP","13.17211","77.54882","122"
"406 DOWN","13.16445","77.41119","123"
"406 UP","13.17278","77.54874","123"
"406 DOWN","13.1648","77.41117","124"
"406 UP","13.17364","77.5487","124"
"406 DOWN","13.16545","77.41111","125"
"406 UP","13.17385","77.54868","125"
"406 DOWN","13.16577","77.41104","126"
"406 UP","13.17416","77.54862","126"
"406 DOWN","13.16603","77.41104","127"
"406 UP","13.17434","77.54853","127"
"406 DOWN","13.1662","77.41107","128"
"406 UP","13.17454","77.5484","128"
"406 DOWN","13.16635","77.41111","129"
"406 UP","13.17479","77.54811","129"
"406 DOWN","13.16663","77.41122","130"
"406 UP","13.17488","77.54795","130"
"406 DOWN","13.16713","77.41147","131"
"406 UP","13.17507","77.5475","131"
"406 DOWN","13.1674","77.41163","132"
"406 UP","13.17515","77.54727","132"
"406 DOWN","13.16779","77.41182","133"
"406 UP","13.1752","77.54706","133"
"406 DOWN","13.17035","77.4132","134"
"406 UP","13.17524","77.54666","134"
"406 DOWN","13.17165","77.41392","135"
"406 UP","13.17529","77.5449","135"
"406 DOWN","13.17534","77.41616","136"
"406 UP","13.17528","77.54453","136"
"406 DOWN","13.17592","77.41644","137"
"406 UP","13.17524","77.54438","137"
"406 DOWN","13.17668","77.41672","138"
"406 UP","13.17483","77.54337","138"
"406 DOWN","13.17966","77.41767","139"
"406 UP","13.17449","77.54225","139"
"406 DOWN","13.18026","77.41781","140"
"406 UP","13.17406","77.5411","140"
"406 DOWN","13.18454","77.41825","141"
"406 UP","13.17402","77.54096","141"
"406 DOWN","13.18603","77.41842","142"
"406 UP","13.174","77.54063","142"
"406 DOWN","13.18649","77.41848","143"
"406 UP","13.17415","77.53987","143"
"406 DOWN","13.18683","77.41855","144"
"406 UP","13.17417","77.53972","144"
"406 DOWN","13.18724","77.41867","145"
"406 UP","13.17417","77.53954","145"
"406 DOWN","13.18832","77.41897","146"
"406 UP","13.17402","77.53825","146"
"406 DOWN","13.189062","77.4192","147"
"406 UP","13.17392","77.53756","147"
"406 DOWN","13.19","77.4195","148"
"406 UP","13.1738","77.53726","148"
"406 DOWN","13.19032","77.41964","149"
"406 UP","13.17362","77.53699","149"
"406 DOWN","13.19066","77.41987","150"
"406 UP","13.17346","77.5368","150"
"406 DOWN","13.19105","77.42018","151"
"406 UP","13.17324","77.5366","151"
"406 DOWN","13.19228","77.42109","152"
"406 UP","13.17256","77.53614","152"
"406 DOWN","13.19403","77.42248","153"
"406 UP","13.17217","77.53583","153"
"406 DOWN","13.19568","77.42374","154"
"406 UP","13.17201","77.53566","154"
"406 DOWN","13.19592","77.42394","155"
"406 UP","13.17185","77.53544","155"
